# n one_over_n log2_n twelve_sqrt_n fifty_sqrt_n n_power_0_51 two_power_32_n n_log2_n n2_minus_324 hundred_n2_plus_6n two_n3 n_power_log2_n three_power_n
4.80 2.083333333333e-01 2.263034405834e+00 2.629068276025e+01 1.095445115010e+02 2.225527838202e+00 2.061584302080e+10 1.086256514800e+01 -3.009600000000e+02 2.332800000000e+03 2.211840000000e+02 3.480746209383e+01 1.950661995077e+02
4.90 2.040816326531e-01 2.292781749228e+00 2.656313234541e+01 1.106797181059e+02 2.249054610054e+00 2.104533975040e+10 1.123463057122e+01 -2.999900000000e+02 2.430400000000e+03 2.352980000000e+02 3.823569385781e+01 2.177179057413e+02
5.00 2.000000000000e-01 2.321928094887e+00 2.683281573000e+01 1.118033988750e+02 2.272347266481e+00 2.147483648000e+10 1.160964047444e+01 -2.990000000000e+02 2.530000000000e+03 2.500000000000e+02 4.197184791733e+01 2.430000000000e+02
5.10 1.960784313725e-01 2.350497247084e+00 2.709981549753e+01 1.129158979064e+02 2.295412750978e+00 2.190433320960e+10 1.198753596013e+01 -2.979900000000e+02 2.631600000000e+03 2.653020000000e+02 4.604068230037e+01 2.712179312902e+02
5.20 1.923076923077e-01 2.378511623254e+00 2.736421020238e+01 1.140175425099e+02 2.318257669598e+00 2.233382993920e+10 1.236826044092e+01 -2.969600000000e+02 2.735200000000e+03 2.812160000000e+02 5.046871824911e+01 3.027126183266e+02
5.30 1.886792452830e-01 2.405992359676e+00 2.762607463973e+01 1.151086443322e+02 2.340888313498e+00 2.276332666880e+10 1.275175950628e+01 -2.959100000000e+02 2.840800000000e+03 2.977540000000e+02 5.528435009811e+01 3.378645683868e+02
5.40 1.851851851852e-01 2.432959407276e+00 2.788548009269e+01 1.161895003862e+02 2.363310679580e+00 2.319282339840e+10 1.313798079929e+01 -2.948400000000e+02 2.948400000000e+03 3.149280000000e+02 6.051796109068e+01 3.770984744614e+02
5.50 1.818181818182e-01 2.459431618637e+00 2.814249455894e+01 1.172603939956e+02 2.385530489432e+00 2.362232012800e+10 1.352687390251e+01 -2.937500000000e+02 3.058000000000e+03 3.327500000000e+02 6.620204540769e+01 4.208883462392e+02
5.60 1.785714285714e-01 2.485426827170e+00 2.839718295888e+01 1.183215956620e+02 2.407553206718e+00 2.405181685760e+10 1.391839023215e+01 -2.926400000000e+02 3.169600000000e+03 3.512320000000e+02 7.237133669352e+01 4.697632369184e+02
5.70 1.754385964912e-01 2.510961919277e+00 2.864960732715e+01 1.193733638631e+02 2.429384053190e+00 2.448131358720e+10 1.431248293988e+01 -2.915100000000e+02 3.283200000000e+03 3.703860000000e+02 7.906294337529e+01 5.243136350338e+02
5.80 1.724137931034e-01 2.536052900240e+00 2.889982698910e+01 1.204159457879e+02 2.451028023438e+00 2.491081031680e+10 1.470910682139e+01 -2.903600000000e+02 3.398800000000e+03 3.902240000000e+02 8.631649108296e+01 5.851985985232e+02
5.90 1.694915254237e-01 2.560714954474e+00 2.914789872358e+01 1.214495780149e+02 2.472489898499e+00 2.534030704640e+10 1.510821823140e+01 -2.891900000000e+02 3.516400000000e+03 4.107580000000e+02 9.417427248973e+01 6.531537172239e+02
6.00 1.666666666667e-01 2.584962500721e+00 2.939387691340e+01 1.224744871392e+02 2.493774258446e+00 2.576980377600e+10 1.550977500433e+01 -2.880000000000e+02 3.636000000000e+03 4.320000000000e+02 1.026814049044e+02 7.290000000000e+02
6.10 1.639344262295e-01 2.608809242676e+00 2.963781368455e+01 1.234908903523e+02 2.514885494027e+00 2.619930050560e+10 1.591373638032e+01 -2.867900000000e+02 3.757600000000e+03 4.539620000000e+02 1.118859959604e+02 8.136537938707e+02
6.20 1.612903225806e-01 2.632268215500e+00 2.987975903517e+01 1.244989959799e+02 2.535827817458e+00 2.662879723520e+10 1.632006293610e+01 -2.855600000000e+02 3.881200000000e+03 4.766560000000e+02 1.218393177578e+02 9.081378549797e+02
6.30 1.587301587302e-01 2.655351828613e+00 3.011976095523e+01 1.254990039801e+02 2.556605272433e+00 2.705829396480e+10 1.672871652026e+01 -2.843100000000e+02 4.006800000000e+03 5.000940000000e+02 1.325959898312e+02 1.013593705160e+03
6.40 1.562500000000e-01 2.678071905113e+00 3.035786553762e+01 1.264911064067e+02 2.577221743423e+00 2.748779069440e+10 1.713966019272e+01 -2.830400000000e+02 4.134400000000e+03 5.242880000000e+02 1.442141713261e+02 1.131295423384e+03
6.50 1.538461538462e-01 2.700439718141e+00 3.059411708156e+01 1.274754878398e+02 2.597680964332e+00 2.791728742400e+10 1.755285816792e+01 -2.817500000000e+02 4.264000000000e+03 5.492500000000e+02 1.567557627838e+02 1.262665038718e+03
6.60 1.515151515152e-01 2.722466024471e+00 3.082855818880e+01 1.284523257867e+02 2.617986526547e+00 2.834678415360e+10 1.796827576151e+01 -2.804400000000e+02 4.395600000000e+03 5.749920000000e+02 1.702866179486e+02 1.409289710755e+03
6.70 1.492537313433e-01 2.744161095570e+00 3.106122985331e+01 1.294217910554e+02 2.638141886449e+00 2.877628088320e+10 1.838587934032e+01 -2.791100000000e+02 4.529200000000e+03 6.015260000000e+02 1.848767660267e+02 1.572940905101e+03
6.80 1.470588235294e-01 2.765534746363e+00 3.129217154497e+01 1.303840481041e+02 2.658150372422e+00 2.920577761280e+10 1.880563627527e+01 -2.777600000000e+02 4.664800000000e+03 6.288640000000e+02 2.006006448399e+02 1.755595795570e+03
6.90 1.449275362319e-01 2.786596361891e+00 3.152142128775e+01 1.313392553656e+02 2.678015191396e+00 2.963527434240e+10 1.922751489705e+01 -2.763900000000e+02 4.802400000000e+03 6.570180000000e+02 2.175373453369e+02 1.959461151672e+03
7.00 1.428571428571e-01 2.807354922058e+00 3.174901573278e+01 1.322875655532e+02 2.697739434975e+00 3.006477107200e+10 1.965148445440e+01 -2.750000000000e+02 4.942000000000e+03 6.860000000000e+02 2.357708679384e+02 2.187000000000e+03
7.10 1.408450704225e-01 2.827819024617e+00 3.197499022674e+01 1.332291259447e+02 2.717326085160e+00 3.049426780160e+10 2.007751507478e+01 -2.735900000000e+02 5.083600000000e+03 7.158220000000e+02 2.553903912113e+02 2.440961381612e+03
7.20 1.388888888889e-01 2.847996906555e+00 3.219937887600e+01 1.341640786500e+02 2.736778019725e+00 3.092376453120e+10 2.050557772720e+01 -2.721600000000e+02 5.227200000000e+03 7.464960000000e+02 2.764905533832e+02 2.724413564939e+03
7.30 1.369863013699e-01 2.867896463993e+00 3.242221460666e+01 1.350925608611e+02 2.756098017249e+00 3.135326126080e+10 2.093564418715e+01 -2.707100000000e+02 5.372800000000e+03 7.780340000000e+02 2.991717472297e+02 3.040781115481e+03
