# R1=Unsorted_array R2=Sorted_array R3=Singly_linked_unsorted R4=Singly_linked_sorted R5=Doubly_linked_unsorted R6=Doubly_linked_sorted
# metric=dominant_step_count; experiment targets worst-case configurations
# n R1_Search R1_Insert R1_Delete R1_Maximum R1_Minimum R1_Predecessor R1_Successor R2_Search R2_Insert R2_Delete R2_Maximum R2_Minimum R2_Predecessor R2_Successor R3_Search R3_Insert R3_Delete R3_Maximum R3_Minimum R3_Predecessor R3_Successor R4_Search R4_Insert R4_Delete R4_Maximum R4_Minimum R4_Predecessor R4_Successor R5_Search R5_Insert R5_Delete R5_Maximum R5_Minimum R5_Predecessor R5_Successor R6_Search R6_Insert R6_Delete R6_Maximum R6_Minimum R6_Predecessor R6_Successor
39347 39347 1 1 39346 39346 39347 39347 16 39347 39346 1 1 1 1 39347 1 39346 39346 39346 39347 39347 39347 39346 39346 1 1 39346 1 39347 1 1 39346 39346 39347 39347 39347 39346 1 1 1 1 1
40036 40036 1 1 40035 40035 40036 40036 16 40036 40035 1 1 1 1 40036 1 40035 40035 40035 40036 40036 40036 40035 40035 1 1 40035 1 40036 1 1 40035 40035 40036 40036 40036 40035 1 1 1 1 1
40725 40725 1 1 40724 40724 40725 40725 16 40725 40724 1 1 1 1 40725 1 40724 40724 40724 40725 40725 40725 40724 40724 1 1 40724 1 40725 1 1 40724 40724 40725 40725 40725 40724 1 1 1 1 1
41414 41414 1 1 41413 41413 41414 41414 16 41414 41413 1 1 1 1 41414 1 41413 41413 41413 41414 41414 41414 41413 41413 1 1 41413 1 41414 1 1 41413 41413 41414 41414 41414 41413 1 1 1 1 1
42103 42103 1 1 42102 42102 42103 42103 16 42103 42102 1 1 1 1 42103 1 42102 42102 42102 42103 42103 42103 42102 42102 1 1 42102 1 42103 1 1 42102 42102 42103 42103 42103 42102 1 1 1 1 1
42793 42793 1 1 42792 42792 42793 42793 16 42793 42792 1 1 1 1 42793 1 42792 42792 42792 42793 42793 42793 42792 42792 1 1 42792 1 42793 1 1 42792 42792 42793 42793 42793 42792 1 1 1 1 1
43482 43482 1 1 43481 43481 43482 43482 16 43482 43481 1 1 1 1 43482 1 43481 43481 43481 43482 43482 43482 43481 43481 1 1 43481 1 43482 1 1 43481 43481 43482 43482 43482 43481 1 1 1 1 1
44171 44171 1 1 44170 44170 44171 44171 16 44171 44170 1 1 1 1 44171 1 44170 44170 44170 44171 44171 44171 44170 44170 1 1 44170 1 44171 1 1 44170 44170 44171 44171 44171 44170 1 1 1 1 1
44860 44860 1 1 44859 44859 44860 44860 16 44860 44859 1 1 1 1 44860 1 44859 44859 44859 44860 44860 44860 44859 44859 1 1 44859 1 44860 1 1 44859 44859 44860 44860 44860 44859 1 1 1 1 1
45549 45549 1 1 45548 45548 45549 45549 16 45549 45548 1 1 1 1 45549 1 45548 45548 45548 45549 45549 45549 45548 45548 1 1 45548 1 45549 1 1 45548 45548 45549 45549 45549 45548 1 1 1 1 1
46238 46238 1 1 46237 46237 46238 46238 16 46238 46237 1 1 1 1 46238 1 46237 46237 46237 46238 46238 46238 46237 46237 1 1 46237 1 46238 1 1 46237 46237 46238 46238 46238 46237 1 1 1 1 1
46928 46928 1 1 46927 46927 46928 46928 16 46928 46927 1 1 1 1 46928 1 46927 46927 46927 46928 46928 46928 46927 46927 1 1 46927 1 46928 1 1 46927 46927 46928 46928 46928 46927 1 1 1 1 1
47617 47617 1 1 47616 47616 47617 47617 16 47617 47616 1 1 1 1 47617 1 47616 47616 47616 47617 47617 47617 47616 47616 1 1 47616 1 47617 1 1 47616 47616 47617 47617 47617 47616 1 1 1 1 1
48306 48306 1 1 48305 48305 48306 48306 16 48306 48305 1 1 1 1 48306 1 48305 48305 48305 48306 48306 48306 48305 48305 1 1 48305 1 48306 1 1 48305 48305 48306 48306 48306 48305 1 1 1 1 1
48995 48995 1 1 48994 48994 48995 48995 16 48995 48994 1 1 1 1 48995 1 48994 48994 48994 48995 48995 48995 48994 48994 1 1 48994 1 48995 1 1 48994 48994 48995 48995 48995 48994 1 1 1 1 1
49684 49684 1 1 49683 49683 49684 49684 16 49684 49683 1 1 1 1 49684 1 49683 49683 49683 49684 49684 49684 49683 49683 1 1 49683 1 49684 1 1 49683 49683 49684 49684 49684 49683 1 1 1 1 1
50374 50374 1 1 50373 50373 50374 50374 16 50374 50373 1 1 1 1 50374 1 50373 50373 50373 50374 50374 50374 50373 50373 1 1 50373 1 50374 1 1 50373 50373 50374 50374 50374 50373 1 1 1 1 1
51063 51063 1 1 51062 51062 51063 51063 16 51063 51062 1 1 1 1 51063 1 51062 51062 51062 51063 51063 51063 51062 51062 1 1 51062 1 51063 1 1 51062 51062 51063 51063 51063 51062 1 1 1 1 1
51752 51752 1 1 51751 51751 51752 51752 16 51752 51751 1 1 1 1 51752 1 51751 51751 51751 51752 51752 51752 51751 51751 1 1 51751 1 51752 1 1 51751 51751 51752 51752 51752 51751 1 1 1 1 1
52441 52441 1 1 52440 52440 52441 52441 16 52441 52440 1 1 1 1 52441 1 52440 52440 52440 52441 52441 52441 52440 52440 1 1 52440 1 52441 1 1 52440 52440 52441 52441 52441 52440 1 1 1 1 1
